Act	Place
1	crownest2
1	crownest3
1	crownest4
1	meshif1
1	duriel
1	bonefetish1
1	bonefetish2
1	bonefetish3
1	bonefetish4
1	bonefetish5
1	darkguard1
1	darkguard2
1	darkguard3
1	darkguard4
1	darkguard5
1	bloodmage1
1	bloodmage2
1	bloodmage3
1	bloodmage4
1	bloodmage5
1	maggot
1	sarcophagus
1	radament
1	firebeast
1	iceglobe
1	lightningbeast
1	poisonorb
1	flyingscimitar
1	zealot1
1	zealot2
1	zealot3
1	cantor1
1	cantor2
1	cantor3
1	cantor4
1	mephisto
1	diablo
1	cain2
1	cain3
1	cain4
1	frogdemon1
1	frogdemon2
1	frogdemon3
1	summoner
1	tyrael1
1	asheara
1	hratli
1	alkor
1	ormus
1	izual
1	halbu
1	tentacle1
1	tentacle2
1	tentacle3
1	tentaclehead1
1	tentaclehead2
1	tentaclehead3
1	meshif2
1	cain5
1	navi
1	bloodraven
1	bug
1	scorpion
1	rogue2
1	roguehire
1	rogue3
1	gargoyletrap
1	skmage_pois1
1	skmage_pois2
1	skmage_pois3
1	skmage_pois4
1	fetishshaman1
1	fetishshaman2
1	fetishshaman3
1	fetishshaman4
1	fetishshaman5
1	larva
1	maggotqueen1
1	maggotqueen2
1	maggotqueen3
1	maggotqueen4
1	maggotqueen5
1	claygolem
1	bloodgolem
1	irongolem
1	firegolem
1	familiar
1	act3male
1	baboon6
1	act3female
1	natalya
1	vilemother1
1	vilemother2
1	vilemother3
1	vilechild1
1	vilechild2
1	vilechild3
1	fingermage1
1	fingermage2
1	fingermage3
1	regurgitator1
1	regurgitator2
1	regurgitator3
1	doomknight1
1	doomknight2
1	doomknight3
1	quillbear1
1	quillbear2
1	quillbear3
1	quillbear4
1	quillbear5
1	snake
1	parrot
1	fish
1	evilhole1
1	evilhole2
1	evilhole3
1	evilhole4
1	evilhole5
1	trap-firebolt
1	trap-horzmissile
1	trap-vertmissile
1	trap-poisoncloud
1	trap-lightning
1	act2guard2
1	invisospawner
1	diabloclone
1	suckernest1
1	suckernest2
1	suckernest3
1	suckernest4
1	act2hire
1	minispider
1	boneprison1
1	boneprison2
1	boneprison3
1	boneprison4
1	bonewall
1	councilmember1
1	councilmember2
1	councilmember3
1	turret1
1	turret2
1	turret3
1	hydra1
1	hydra2
1	hydra3
1	trap-melee
1	seventombs
1	dopplezon
1	valkyrie
1	act2guard3
1	act3hire
1	megademon1
1	megademon2
1	megademon3
1	necroskeleton
1	necromage
1	griswold
1	compellingorb
1	tyrael2
1	darkwanderer
1	trap-nova
1	spiritmummy
1	lightningspire
1	firetower
1	slinger1
1	slinger2
1	slinger3
1	slinger4
1	act2guard4
1	act2guard5
1	skmage_cold1
1	skmage_cold2
1	skmage_cold3
1	skmage_cold4
1	skmage_fire1
1	skmage_fire2
1	skmage_fire3
1	skmage_fire4
1	skmage_ltng1
1	skmage_ltng2
1	skmage_ltng3
1	skmage_ltng4
1	hellbovine
1	window1
1	window2
1	slinger5
1	slinger6
1	fetishblow1
1	fetishblow2
1	fetishblow3
1	fetishblow4
1	fetishblow5
1	mephistospirit
1	smith
1	trappedsoul1
1	trappedsoul2
1	jamella
1	izualghost
1	fetish11
1	malachai
1	hephasto
1	wakeofdestruction
1	chargeboltsentry
1	lightningsentry
1	bladecreeper
1	invisopet
1	infernosentry
1	deathsentry
1	shadowwarrior
1	shadowmaster
1	druidhawk
1	spiritwolf
1	fenris
1	spiritofbarbs
1	heartofwolverine
1	oaksage
1	plaguepoppy
1	cycleoflife
1	vinecreature
1	druidbear
1	eagle
1	wolf
1	bear
1	barricadedoor1
1	barricadedoor2
1	prisondoor
1	barricadetower
1	reanimatedhorde1
1	reanimatedhorde2
1	reanimatedhorde3
1	reanimatedhorde4
1	reanimatedhorde5
1	siegebeast1
1	siegebeast2
1	siegebeast3
1	siegebeast4
1	siegebeast5
1	snowyeti1
1	snowyeti2
1	snowyeti3
1	snowyeti4
1	wolfrider1
1	wolfrider2
1	wolfrider3
1	minion1
1	minion2
1	minion3
1	minion4
1	minion5
1	minion6
1	minion7
1	minion8
1	suicideminion1
1	suicideminion2
1	suicideminion3
1	suicideminion4
1	suicideminion5
1	suicideminion6
1	suicideminion7
1	suicideminion8
1	succubus1
1	succubus2
1	succubus3
1	succubus4
1	succubus5
1	succubuswitch1
1	succubuswitch2
1	succubuswitch3
1	succubuswitch4
1	succubuswitch5
1	overseer1
1	overseer2
1	overseer3
1	overseer4
1	overseer5
1	minionspawner1
1	minionspawner2
1	minionspawner3
1	minionspawner4
1	minionspawner5
1	minionspawner6
1	minionspawner7
1	minionspawner8
1	imp1
1	imp2
1	imp3
1	imp4
1	imp5
1	catapult1
1	catapult2
1	catapult3
1	catapult4
1	frozenhorror1
1	frozenhorror2
1	frozenhorror3
1	frozenhorror4
1	frozenhorror5
1	bloodlord1
1	bloodlord2
1	bloodlord3
1	bloodlord4
1	bloodlord5
1	larzuk
1	drehya
1	malah
1	nihlathak
1	qual-kehk
1	catapultspotter1
1	catapultspotter2
1	catapultspotter3
1	catapultspotter4
1	cain6
1	tyrael3
1	act5barb1
1	act5barb2
1	barricadewall1
1	barricadewall2
1	nihlathakboss
1	drehyaiced
1	evilhut
1	deathmauler1
1	deathmauler2
1	deathmauler3
1	deathmauler4
1	deathmauler5
1	act5pow
1	act5barb3
1	act5barb4
1	ancientstatue1
1	ancientstatue2
1	ancientstatue3
1	ancientbarb1
1	ancientbarb2
1	ancientbarb3
1	baalthrone
1	baalcrab
1	baaltaunt
1	putriddefiler1
1	putriddefiler2
1	putriddefiler3
1	putriddefiler4
1	putriddefiler5
1	painworm1
1	painworm2
1	painworm3
1	painworm4
1	painworm5
1	bunny
1	baalhighpriest
1	venomlord
1	baalcrabstairs
1	act5hire1
1	act5hire2
1	baaltentacle1
1	baaltentacle2
1	baaltentacle3
1	baaltentacle4
1	baaltentacle5
1	injuredbarb1
1	injuredbarb2
1	injuredbarb3
1	baalclone
1	baalminion1
1	baalminion2
1	baalminion3
1	worldstoneeffect
1	sk_archer6
1	sk_archer7
1	sk_archer8
1	sk_archer9
1	sk_archer10
1	bighead6
1	bighead7
1	bighead8
1	bighead9
1	bighead10
1	goatman6
1	goatman7
1	goatman8
1	goatman9
1	goatman10
1	foulcrow5
1	foulcrow6
1	foulcrow7
1	foulcrow8
1	clawviper6
1	clawviper7
1	clawviper8
1	clawviper9
1	clawviper10
1	sandraider6
1	sandraider7
1	sandraider8
1	sandraider9
1	sandraider10
1	deathmauler6
1	quillrat6
1	quillrat7
1	quillrat8
1	vulture5
1	thornhulk5
1	slinger7
1	slinger8
1	slinger9
1	cr_archer6
1	cr_archer7
1	cr_lancer6
1	cr_lancer7
1	cr_lancer8
1	blunderbore5
1	blunderbore6
1	skmage_fire5
1	skmage_fire6
1	skmage_ltng5
1	skmage_ltng6
1	skmage_cold5
1	skmage_pois5
1	skmage_pois6
1	pantherwoman5
1	pantherwoman6
1	sandleaper6
1	sandleaper7
1	wraith6
1	wraith7
1	wraith8
1	succubus6
1	succubus7
1	succubuswitch6
1	succubuswitch7
1	succubuswitch8
1	willowisp5
1	willowisp6
1	willowisp7
1	fallen6
1	fallen7
1	fallen8
1	fallenshaman6
1	fallenshaman7
1	fallenshaman8
1	skeleton6
1	skeleton7
1	batdemon6
1	batdemon7
1	bloodlord6
1	bloodlord7
1	scarab6
1	scarab7
1	fetish6
1	fetish7
1	fetish8
1	fetishblow6
1	fetishblow7
1	fetishblow8
1	fetishshaman6
1	fetishshaman7
1	fetishshaman8
1	baboon7
1	baboon8
1	unraveler6
1	unraveler7
1	unraveler8
1	unraveler9
1	zealot4
1	zealot5
1	cantor5
1	cantor6
1	vilemother4
1	vilemother5
1	vilechild4
1	vilechild5
1	sandmaggot6
1	maggotbaby6
1	maggotegg6
1	minion9
1	minion10
1	minion11
1	arach6
1	megademon4
1	megademon5
1	imp6
1	imp7
1	bonefetish6
1	bonefetish7
1	fingermage4
1	fingermage5
1	regurgitator4
1	vampire6
1	vampire7
1	vampire8
1	reanimatedhorde6
1	dkfig1
1	dkfig2
1	dkmag1
1	dkmag2
1	mummy6
1	ubermephisto
1	uberdiablo
1	uberizual
1	uberandariel
1	uberduriel
1	uberbaal
1	demonspawner
1	demonhole
1	megademon6
1	dkmag3
1	imp8
1	swarm5
1	sandmaggot7
1	arach7
1	scarab8
1	succubus8
1	succubuswitch9
1	corruptrogue6
1	cr_archer8
1	cr_lancer9
1	overseer6
1	skeleton8
1	sk_archer11
1	skmage_fire7
1	skmage_ltng7
1	skmage_cold6
1	skmage_pois7
1	vampire9
1	wraith9
1	willowisp8
1	Bishibosh
1	Bonebreak
1	Coldcrow
1	Rakanishu
1	Treehead WoodFist
1	Griswold
1	The Countess
1	Pitspawn Fouldog
1	Flamespike the Crawler
1	Boneash
1	Radament
1	Bloodwitch the Wild
1	Fangskin
1	Beetleburst
1	Leatherarm
1	Coldworm the Burrower
1	Fire Eye
1	Dark Elder
1	The Summoner
1	Ancient Kaa the Soulless
1	The Smith
1	Web Mage the Burning
1	Witch Doctor Endugu
1	Stormtree
1	Sarina the Battlemaid
1	Icehawk Riftwing
1	Ismail Vilehand
1	Geleb Flamefinger
1	Bremm Sparkfist
1	Toorc Icefist
1	Wyand Voidfinger
1	Maffer Dragonhand
1	Winged Death
1	The Tormentor
1	Taintbreeder
1	Riftwraith the Cannibal
1	Infector of Souls
1	Lord De Seis
1	Grand Vizier of Chaos
1	The Cow King
1	Corpsefire
1	The Feature Creep
1	Siege Boss
1	Ancient Barbarian 1
1	Ancient Barbarian 2
1	Ancient Barbarian 3
1	Axe Dweller
1	Bonesaw Breaker
1	Dac Farren
1	Megaflow Rectifier
1	Eyeback Unleashed
1	Threash Socket
1	Pindleskin
1	Snapchip Shatter
1	Anodized Elite
1	Vinvear Molech
1	Sharp Tooth Sayer
1	Magma Torquer
1	Blaze Ripper
1	Frozenstein
1	Nihlathak Boss
1	Baal Subject 1
1	Baal Subject 2
1	Baal Subject 3
1	Baal Subject 4
1	Baal Subject 5
2	warriv2
2	atma
2	drognan
2	fara
2	place_nothing
2	place_nothing
2	place_nothing
2	place_nothing
2	greiz
2	elzix
2	lysander
2	meshif1
2	geglash
2	jerhyn
2	place_unique_pack
2	place_npc_pack
2	place_nothing
2	summoner
2	Radament
2	duriel
2	cain2
2	place_champion
2	act2male
2	act2female
2	act2guard1
2	act2vendor1
2	act2vendor2
2	place_tightspotboss
2	fish
2	place_talkingguard
2	place_dumbguard
2	place_maggot
2	place_maggotegg
2	place_nothing
2	gargoyletrap
2	trap-horzmissile
2	trap-vertmissile
2	place_group25
2	place_group50
2	place_group75
2	place_group100
2	lightningspire
2	firetower
2	place_nothing
2	place_nothing
2	place_nothing
2	Bloodwitch the Wild
2	Fangskin
2	Beetleburst
2	Leatherarm
2	Coldworm the Burrower
2	Fire Eye
2	Dark Elder
2	Ancient Kaa the Soulless
2	act2guard4
2	act2guard5
2	sarcophagus
2	tyrael1
2	skeleton5
2	gheed
2	cain1
2	akara
2	chicken
2	rogue1
2	kashya
2	cow
2	warriv1
2	charsi
2	andariel
2	place_fallen
2	place_fallenshaman
2	place_bloodraven
2	cow
2	camel
2	place_unique_pack
2	place_npc_pack
2	place_nothing
2	place_nothing
2	place_champion
2	navi
2	rogue1
2	rogue3
2	gargoyletrap
2	place_fallennest
2	place_talkingrogue
2	place_fallen
2	place_fallenshaman
2	trap-horzmissile
2	trap-vertmissile
2	place_group25
2	place_group50
2	place_group75
2	place_group100
2	Bishibosh
2	Bonebreak
2	Coldcrow
2	Rakanishu
2	Treehead WoodFist
2	Griswold
2	The Countess
2	Pitspawn Fouldog
2	Flamespike the Crawler
2	Boneash
2	The Smith
2	The Cow King
2	Corpsefire
2	skeleton1
2	skeleton2
2	skeleton3
2	skeleton4
2	skeleton5
2	zombie1
2	zombie2
2	zombie3
2	zombie4
2	zombie5
2	bighead1
2	bighead2
2	bighead3
2	bighead4
2	bighead5
2	foulcrow1
2	foulcrow2
2	foulcrow3
2	foulcrow4
2	fallen1
2	fallen2
2	fallen3
2	fallen4
2	fallen5
2	brute2
2	brute3
2	brute4
2	brute5
2	brute1
2	sandraider1
2	sandraider2
2	sandraider3
2	sandraider4
2	sandraider5
2	gorgon1
2	gorgon2
2	gorgon3
2	gorgon4
2	wraith1
2	wraith2
2	wraith3
2	wraith4
2	wraith5
2	corruptrogue1
2	corruptrogue2
2	corruptrogue3
2	corruptrogue4
2	corruptrogue5
2	baboon1
2	baboon2
2	baboon3
2	baboon4
2	baboon5
2	goatman1
2	goatman2
2	goatman3
2	goatman4
2	goatman5
2	fallenshaman1
2	fallenshaman2
2	fallenshaman3
2	fallenshaman4
2	fallenshaman5
2	quillrat1
2	quillrat2
2	quillrat3
2	quillrat4
2	quillrat5
2	sandmaggot1
2	sandmaggot2
2	sandmaggot3
2	sandmaggot4
2	sandmaggot5
2	clawviper1
2	clawviper2
2	clawviper3
2	clawviper4
2	clawviper5
2	sandleaper1
2	sandleaper2
2	sandleaper3
2	sandleaper4
2	sandleaper5
2	pantherwoman1
2	pantherwoman2
2	pantherwoman3
2	pantherwoman4
2	swarm1
2	swarm2
2	swarm3
2	swarm4
2	scarab1
2	scarab2
2	scarab3
2	scarab4
2	scarab5
2	mummy1
2	mummy2
2	mummy3
2	mummy4
2	mummy5
2	unraveler1
2	unraveler2
2	unraveler3
2	unraveler4
2	unraveler5
2	chaoshorde1
2	chaoshorde2
2	chaoshorde3
2	chaoshorde4
2	vulture1
2	vulture2
2	vulture3
2	vulture4
2	mosquito1
2	mosquito2
2	mosquito3
2	mosquito4
2	willowisp1
2	willowisp2
2	willowisp3
2	willowisp4
2	arach1
2	arach2
2	arach3
2	arach4
2	arach5
2	thornhulk1
2	thornhulk2
2	thornhulk3
2	thornhulk4
2	vampire1
2	vampire2
2	vampire3
2	vampire4
2	vampire5
2	batdemon1
2	batdemon2
2	batdemon3
2	batdemon4
2	batdemon5
2	fetish1
2	fetish2
2	fetish3
2	fetish4
2	fetish5
2	cain1
2	gheed
2	akara
2	chicken
2	kashya
2	rat
2	rogue1
2	hellmeteor
2	charsi
2	warriv1
2	andariel
2	bird1
2	bird2
2	bat
2	cr_archer1
2	cr_archer2
2	cr_archer3
2	cr_archer4
2	cr_archer5
2	cr_lancer1
2	cr_lancer2
2	cr_lancer3
2	cr_lancer4
2	cr_lancer5
2	sk_archer1
2	sk_archer2
2	sk_archer3
2	sk_archer4
2	sk_archer5
2	warriv2
2	atma
2	drognan
2	fara
2	cow
2	maggotbaby1
2	maggotbaby2
2	maggotbaby3
2	maggotbaby4
2	maggotbaby5
2	camel
2	blunderbore1
2	blunderbore2
2	blunderbore3
2	blunderbore4
2	maggotegg1
2	maggotegg2
2	maggotegg3
2	maggotegg4
2	maggotegg5
2	act2male
2	act2female
2	act2child
2	greiz
2	elzix
2	geglash
2	jerhyn
2	lysander
2	act2guard1
2	act2vendor1
2	act2vendor2
2	crownest1
2	crownest2
2	crownest3
2	crownest4
2	meshif1
2	duriel
2	bonefetish1
2	bonefetish2
2	bonefetish3
2	bonefetish4
2	bonefetish5
2	darkguard1
2	darkguard2
2	darkguard3
2	darkguard4
2	darkguard5
2	bloodmage1
2	bloodmage2
2	bloodmage3
2	bloodmage4
2	bloodmage5
2	maggot
2	sarcophagus
2	radament
2	firebeast
2	iceglobe
2	lightningbeast
2	poisonorb
2	flyingscimitar
2	zealot1
2	zealot2
2	zealot3
2	cantor1
2	cantor2
2	cantor3
2	cantor4
2	mephisto
2	diablo
2	cain2
2	cain3
2	cain4
2	frogdemon1
2	frogdemon2
2	frogdemon3
2	summoner
2	tyrael1
2	asheara
2	hratli
2	alkor
2	ormus
2	izual
2	halbu
2	tentacle1
2	tentacle2
2	tentacle3
2	tentaclehead1
2	tentaclehead2
2	tentaclehead3
2	meshif2
2	cain5
2	navi
2	bloodraven
2	bug
2	scorpion
2	rogue2
2	roguehire
2	rogue3
2	gargoyletrap
2	skmage_pois1
2	skmage_pois2
2	skmage_pois3
2	skmage_pois4
2	fetishshaman1
2	fetishshaman2
2	fetishshaman3
2	fetishshaman4
2	fetishshaman5
2	larva
2	maggotqueen1
2	maggotqueen2
2	maggotqueen3
2	maggotqueen4
2	maggotqueen5
2	claygolem
2	bloodgolem
2	irongolem
2	firegolem
2	familiar
2	act3male
2	baboon6
2	act3female
2	natalya
2	vilemother1
2	vilemother2
2	vilemother3
2	vilechild1
2	vilechild2
2	vilechild3
2	fingermage1
2	fingermage2
2	fingermage3
2	regurgitator1
2	regurgitator2
2	regurgitator3
2	doomknight1
2	doomknight2
2	doomknight3
2	quillbear1
2	quillbear2
2	quillbear3
2	quillbear4
2	quillbear5
2	snake
2	parrot
2	fish
2	evilhole1
2	evilhole2
2	evilhole3
2	evilhole4
2	evilhole5
2	trap-firebolt
2	trap-horzmissile
2	trap-vertmissile
2	trap-poisoncloud
2	trap-lightning
2	act2guard2
2	invisospawner
2	diabloclone
2	suckernest1
2	suckernest2
2	suckernest3
2	suckernest4
2	act2hire
2	minispider
2	boneprison1
2	boneprison2
2	boneprison3
2	boneprison4
2	bonewall
2	councilmember1
2	councilmember2
2	councilmember3
2	turret1
2	turret2
2	turret3
2	hydra1
2	hydra2
2	hydra3
2	trap-melee
2	seventombs
2	dopplezon
2	valkyrie
2	act2guard3
2	act3hire
2	megademon1
2	megademon2
2	megademon3
2	necroskeleton
2	necromage
2	griswold
2	compellingorb
2	tyrael2
2	darkwanderer
2	trap-nova
2	spiritmummy
2	lightningspire
2	firetower
2	slinger1
2	slinger2
2	slinger3
2	slinger4
2	act2guard4
2	act2guard5
2	skmage_cold1
2	skmage_cold2
2	skmage_cold3
2	skmage_cold4
2	skmage_fire1
2	skmage_fire2
2	skmage_fire3
2	skmage_fire4
2	skmage_ltng1
2	skmage_ltng2
2	skmage_ltng3
2	skmage_ltng4
2	hellbovine
2	window1
2	window2
2	slinger5
2	slinger6
2	fetishblow1
2	fetishblow2
2	fetishblow3
2	fetishblow4
2	fetishblow5
2	mephistospirit
2	smith
2	trappedsoul1
2	trappedsoul2
2	jamella
2	izualghost
2	fetish11
2	malachai
2	hephasto
2	wakeofdestruction
2	chargeboltsentry
2	lightningsentry
2	bladecreeper
2	invisopet
2	infernosentry
2	deathsentry
2	shadowwarrior
2	shadowmaster
2	druidhawk
2	spiritwolf
2	fenris
2	spiritofbarbs
2	heartofwolverine
2	oaksage
2	plaguepoppy
2	cycleoflife
2	vinecreature
2	druidbear
2	eagle
2	wolf
2	bear
2	barricadedoor1
2	barricadedoor2
2	prisondoor
2	barricadetower
2	reanimatedhorde1
2	reanimatedhorde2
2	reanimatedhorde3
2	reanimatedhorde4
2	reanimatedhorde5
2	siegebeast1
2	siegebeast2
2	siegebeast3
2	siegebeast4
2	siegebeast5
2	snowyeti1
2	snowyeti2
2	snowyeti3
2	snowyeti4
2	wolfrider1
2	wolfrider2
2	wolfrider3
2	minion1
2	minion2
2	minion3
2	minion4
2	minion5
2	minion6
2	minion7
2	minion8
2	suicideminion1
2	suicideminion2
2	suicideminion3
2	suicideminion4
2	suicideminion5
2	suicideminion6
2	suicideminion7
2	suicideminion8
2	succubus1
2	succubus2
2	succubus3
2	succubus4
2	succubus5
2	succubuswitch1
2	succubuswitch2
2	succubuswitch3
2	succubuswitch4
2	succubuswitch5
2	overseer1
2	overseer2
2	overseer3
2	overseer4
2	overseer5
2	minionspawner1
2	minionspawner2
2	minionspawner3
2	minionspawner4
2	minionspawner5
2	minionspawner6
2	minionspawner7
2	minionspawner8
2	imp1
2	imp2
2	imp3
2	imp4
2	imp5
2	catapult1
2	catapult2
2	catapult3
2	catapult4
2	frozenhorror1
2	frozenhorror2
2	frozenhorror3
2	frozenhorror4
2	frozenhorror5
2	bloodlord1
2	bloodlord2
2	bloodlord3
2	bloodlord4
2	bloodlord5
2	larzuk
2	drehya
2	malah
2	nihlathak
2	qual-kehk
2	catapultspotter1
2	catapultspotter2
2	catapultspotter3
2	catapultspotter4
2	cain6
2	tyrael3
2	act5barb1
2	act5barb2
2	barricadewall1
2	barricadewall2
2	nihlathakboss
2	drehyaiced
2	evilhut
2	deathmauler1
2	deathmauler2
2	deathmauler3
2	deathmauler4
2	deathmauler5
2	act5pow
2	act5barb3
2	act5barb4
2	ancientstatue1
2	ancientstatue2
2	ancientstatue3
2	ancientbarb1
2	ancientbarb2
2	ancientbarb3
2	baalthrone
2	baalcrab
2	baaltaunt
2	putriddefiler1
2	putriddefiler2
2	putriddefiler3
2	putriddefiler4
2	putriddefiler5
2	painworm1
2	painworm2
2	painworm3
2	painworm4
2	painworm5
2	bunny
2	baalhighpriest
2	venomlord
2	baalcrabstairs
2	act5hire1
2	act5hire2
2	baaltentacle1
2	baaltentacle2
2	baaltentacle3
2	baaltentacle4
2	baaltentacle5
2	injuredbarb1
2	injuredbarb2
2	injuredbarb3
2	baalclone
2	baalminion1
2	baalminion2
2	baalminion3
2	worldstoneeffect
2	sk_archer6
2	sk_archer7
2	sk_archer8
2	sk_archer9
2	sk_archer10
2	bighead6
2	bighead7
2	bighead8
2	bighead9
2	bighead10
2	goatman6
2	goatman7
2	goatman8
2	goatman9
2	goatman10
2	foulcrow5
2	foulcrow6
2	foulcrow7
2	foulcrow8
2	clawviper6
2	clawviper7
2	clawviper8
2	clawviper9
2	clawviper10
2	sandraider6
2	sandraider7
2	sandraider8
2	sandraider9
2	sandraider10
2	deathmauler6
2	quillrat6
2	quillrat7
2	quillrat8
2	vulture5
2	thornhulk5
2	slinger7
2	slinger8
2	slinger9
2	cr_archer6
2	cr_archer7
2	cr_lancer6
2	cr_lancer7
2	cr_lancer8
2	blunderbore5
2	blunderbore6
2	skmage_fire5
2	skmage_fire6
2	skmage_ltng5
2	skmage_ltng6
2	skmage_cold5
2	skmage_pois5
2	skmage_pois6
2	pantherwoman5
2	pantherwoman6
2	sandleaper6
2	sandleaper7
2	wraith6
2	wraith7
2	wraith8
2	succubus6
2	succubus7
2	succubuswitch6
2	succubuswitch7
2	succubuswitch8
2	willowisp5
2	willowisp6
2	willowisp7
2	fallen6
2	fallen7
2	fallen8
2	fallenshaman6
2	fallenshaman7
2	fallenshaman8
2	skeleton6
2	skeleton7
2	batdemon6
2	batdemon7
2	bloodlord6
2	bloodlord7
2	scarab6
2	scarab7
2	fetish6
2	fetish7
2	fetish8
2	fetishblow6
2	fetishblow7
2	fetishblow8
2	fetishshaman6
2	fetishshaman7
2	fetishshaman8
2	baboon7
2	baboon8
2	unraveler6
2	unraveler7
2	unraveler8
2	unraveler9
2	zealot4
2	zealot5
2	cantor5
2	cantor6
2	vilemother4
2	vilemother5
2	vilechild4
2	vilechild5
2	sandmaggot6
2	maggotbaby6
2	maggotegg6
2	minion9
2	minion10
2	minion11
2	arach6
2	megademon4
2	megademon5
2	imp6
2	imp7
2	bonefetish6
2	bonefetish7
2	fingermage4
2	fingermage5
2	regurgitator4
2	vampire6
2	vampire7
2	vampire8
2	reanimatedhorde6
2	dkfig1
2	dkfig2
2	dkmag1
2	dkmag2
2	mummy6
2	ubermephisto
2	uberdiablo
2	uberizual
2	uberandariel
2	uberduriel
2	uberbaal
2	demonspawner
2	demonhole
2	megademon6
2	dkmag3
2	imp8
2	swarm5
2	sandmaggot7
2	arach7
2	scarab8
2	succubus8
2	succubuswitch9
2	corruptrogue6
2	cr_archer8
2	cr_lancer9
2	overseer6
2	skeleton8
2	sk_archer11
2	skmage_fire7
2	skmage_ltng7
2	skmage_cold6
2	skmage_pois7
2	vampire9
2	wraith9
2	willowisp8
2	Bishibosh
2	Bonebreak
2	Coldcrow
2	Rakanishu
2	Treehead WoodFist
2	Griswold
2	The Countess
2	Pitspawn Fouldog
2	Flamespike the Crawler
2	Boneash
2	Radament
2	Bloodwitch the Wild
2	Fangskin
