description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Magic Gloves + Perfect Sapphire -> Crafted Gloves	1			100	18	365			3	glov,mag	rps	gpb					usetype,crf		50	50	gethit-skill		44	5	8	cold-thorns			3	6	knock			1	1	levelreq			-10	-10																																																																0
Magic Belt + Perfect Sapphire -> Crafted Belt	1			100	18	365			3	belt,mag	rps	gpb					usetype,crf		50	50	gethit-skill		44	5	8	cold-thorns			3	8	dmg-to-mana			5	10	levelreq			-10	-10																																																																0
Magic Shield + Perfect Sapphire -> Crafted Shield	1			100	18	365			3	shld,mag	rps	gpb					usetype,crf		50	50	gethit-skill		44	5	8	cold-thorns			3	10	block			5	10	levelreq			-10	-10																																																																0
Magic Torso + Perfect Sapphire -> Crafted Torso	1			100	18	365			3	tors,mag	rps	gpb					usetype,crf		50	50	gethit-skill		44	5	8	cold-thorns			3	10	balance1			10	20	levelreq			-10	-10																																																																0
Magic Amulet + Perfect Sapphire -> Crafted Amulet	1			100	18	365			3	amul,mag	rps	gpb					usetype,crf		50	50	gethit-skill		44	5	8	cold-thorns			3	6	howl			5	15	levelreq			-10	-10																																																																0
Magic Ring + Perfect Sapphire -> Crafted Ring	1			100	18	365			3	ring,mag	rps	gpb					usetype,crf		50	50	gethit-skill		44	5	8	cold-thorns			3	6	dex			1	5	levelreq			-10	-10																																																																0
Magic Weapon + Perfect Sapphire -> Crafted Weapon	1			100	18	365			3	weap,mag	rps	gpb					usetype,crf		50	50	gethit-skill		44	5	8	cold-thorns			3	6	dmg%			35	60	levelreq			-10	-10																																																																0
Magic Helm + Perfect Ruby -> Crafted Helm	1			100	18	365			3	helm,mag	rps	gpr					usetype,crf		50	50	hp			10	20	lifesteal			1	3	deadly			5	10	levelreq			-10	-10																																																																0
Magic Boots + Perfect Ruby -> Crafted Boots	1			100	18	365			3	boot,mag	rps	gpr					usetype,crf		50	50	hp			10	20	lifesteal			1	3	regen			5	10	levelreq			-10	-10																																																																0
Magic Gloves + Perfect Ruby -> Crafted Gloves	1			100	18	365			3	glov,mag	rps	gpr					usetype,crf		50	50	hp			10	20	lifesteal			1	4	crush			5	10	levelreq			-10	-10																																																																0
Magic Belt + Perfect Ruby -> Crafted Belt	1			100	18	365			3	belt,mag	rps	gpr					usetype,crf		50	50	hp			10	20	lifesteal			1	3	openwounds			5	10	levelreq			-10	-10																																																																0
Magic Shield + Perfect Ruby -> Crafted Shield	1			100	18	365			3	shld,mag	rps	gpr					usetype,crf		50	50	hp			10	20	lifesteal			1	3	thorns			4	7	levelreq			-10	-10																																																																0
Magic Torso + Perfect Ruby -> Crafted Torso	1			100	18	365			3	tors,mag	rps	gpr					usetype,crf		50	50	hp			10	20	lifesteal			1	3	demon-heal			1	3	levelreq			-10	-10																																																																0
Magic Amulet + Perfect Ruby -> Crafted Amulet	1			100	18	365			3	amul,mag	rps	gpr					usetype,crf		50	50	hp			10	20	lifesteal			1	4	move1			5	10	levelreq			-10	-10																																																																0
Magic Ring + Perfect Ruby -> Crafted Ring	1			100	18	365			3	ring,mag	rps	gpr					usetype,crf		50	50	hp			10	20	lifesteal			1	4	str			1	5	levelreq			-10	-10																																																																0
Magic Weapon + Perfect Ruby -> Crafted Weapon	1			100	18	365			3	weap,mag	rps	gpr					usetype,crf		50	50	hp			10	20	lifesteal			1	5	dmg%			35	60	levelreq			-10	-10																																																																0
Magic Helm + Perfect Amethyst -> Crafted Helm	1			100	18	365			3	helm,mag	rps	gpv					usetype,crf		50	50	mana			10	20	regen-mana			20	40	manasteal			1	4	levelreq			-10	-10																																																																0
Magic Boots + Perfect Amethyst -> Crafted Boots	1			100	18	365			3	boot,mag	rps	gpv					usetype,crf		50	50	mana			10	20	regen-mana			20	40	mana%			2	5	levelreq			-10	-10																																																																0
Magic Gloves + Perfect Amethyst -> Crafted Gloves	1			100	18	365			3	glov,mag	rps	gpv					usetype,crf		50	50	mana			10	20	regen-mana			10	20	mana-kill			1	3	levelreq			-10	-10																																																																0
Magic Belt + Perfect Amethyst -> Crafted Belt	1			100	18	365			3	belt,mag	rps	gpv					usetype,crf		50	50	mana			10	20	regen-mana			20	40	dmg-to-mana			5	10	levelreq			-10	-10																																																																0
Magic Shield + Perfect Amethyst -> Crafted Shield	1			100	18	365			3	shld,mag	rps	gpv					usetype,crf		50	50	mana			10	20	regen-mana			15	30	block			5	10	levelreq			-10	-10																																																																0
Magic Torso + Perfect Amethyst -> Crafted Torso	1			100	18	365			3	tors,mag	rps	gpv					usetype,crf		50	50	mana			10	20	regen-mana			20	40	red-mag			1	4	levelreq			-10	-10																																																																0
Magic Amulet + Perfect Amethyst -> Crafted Amulet	1			100	18	365			3	amul,mag	rps	gpv					usetype,crf		50	50	mana			10	20	regen-mana			15	30	cast1			5	10	levelreq			-10	-10																																																																0
Magic Ring + Perfect Amethyst -> Crafted Ring	1			100	18	365			3	ring,mag	rps	gpv					usetype,crf		50	50	mana			10	20	regen-mana			15	30	enr			1	5	levelreq			-10	-10																																																																0
Magic Weapon + Perfect Amethyst -> Crafted Weapon	1			100	18	365			3	weap,mag	rps	gpv					usetype,crf		50	50	mana			10	20	regen-mana			10	20	ignore-ac			1	1	levelreq			-10	-10																																																																0
Magic Helm + Perfect Emerald -> Crafted Helm	1			100	18	365			3	helm,mag	rps	gpg					usetype,crf		50	50	dex%			1	5	red-mag			1	4	res-ltng			5	10	levelreq			-10	-10																																																																0
Magic Boots + Perfect Emerald -> Crafted Boots	1			100	18	365			3	boot,mag	rps	gpg					usetype,crf		50	50	dex%			1	5	red-mag			1	4	res-fire			5	10	levelreq			-10	-10																																																																0
Magic Gloves + Perfect Emerald -> Crafted Gloves	1			100	18	365			3	glov,mag	rps	gpg					usetype,crf		50	50	dex%			1	5	red-mag			1	3	res-cold			5	10	levelreq			-10	-10																																																																0
Magic Belt + Perfect Emerald -> Crafted Belt	1			100	18	365			3	belt,mag	rps	gpg					usetype,crf		50	50	dex%			1	5	red-mag			1	4	res-pois			5	10	levelreq			-10	-10																																																																0
Magic Shield + Perfect Emerald -> Crafted Shield	1			100	18	365			3	shld,mag	rps	gpg					usetype,crf		50	50	dex%			1	5	red-mag			1	5	res-mag			5	10	levelreq			-10	-10																																																																0
Magic Torso + Perfect Emerald -> Crafted Torso	1			100	18	365			3	tors,mag	rps	gpg					usetype,crf		50	50	dex%			1	5	red-mag			1	5	half-freeze			1	1	levelreq			-10	-10																																																																0
Magic Amulet + Perfect Emerald -> Crafted Amulet	1			100	18	365			3	amul,mag	rps	gpg					usetype,crf		50	50	dex%			1	5	red-mag			1	3	block			1	10	levelreq			-10	-10																																																																0
Magic Ring + Perfect Emerald -> Crafted Ring	1			100	18	365			3	ring,mag	rps	gpg					usetype,crf		50	50	dex%			1	5	red-mag			1	3	vit			1	5	levelreq			-10	-10																																																																0
Magic Weapon + Perfect Emerald -> Crafted Weapon	1			100	18	365			3	weap,mag	rps	gpg					usetype,crf		50	50	dex%			1	5	red-mag			1	3	ac%			15	30	levelreq			-10	-10																																																																0
Magic Helm + Perfect Topaz -> Crafted Helm	1			100	18	365			3	helm,mag	rps	gpy					usetype,crf		50	50	gethit-skill		48	5	8	light-thorns			3	8	ac			15	30	levelreq			-10	-10																																																																0
Magic Boots + Perfect Topaz -> Crafted Boots	1			100	18	365			3	boot,mag	rps	gpy					usetype,crf		50	50	gethit-skill		48	5	8	light-thorns			3	8	res-all			1	5	levelreq			-10	-10																																																																0
Magic Gloves + Perfect Topaz -> Crafted Gloves	1			100	18	365			3	glov,mag	rps	gpy					usetype,crf		50	50	gethit-skill		48	5	8	light-thorns			3	6	att%			5	10	levelreq			-10	-10																																																																0
Magic Belt + Perfect Topaz -> Crafted Belt	1			100	18	365			3	belt,mag	rps	gpy					usetype,crf		50	50	gethit-skill		48	5	8	light-thorns			3	8	red-dmg%			1	3	levelreq			-10	-10																																																																0
Magic Shield + Perfect Topaz -> Crafted Shield	1			100	18	365			3	shld,mag	rps	gpy					usetype,crf		50	50	gethit-skill		48	5	8	light-thorns			3	10	res-curs-len			10	20	levelreq			-10	-10																																																																0
Magic Torso + Perfect Topaz -> Crafted Torso	1			100	18	365			3	tors,mag	rps	gpy					usetype,crf		50	50	gethit-skill		48	5	8	light-thorns			3	10	hp%			2	5	levelreq			-10	-10																																																																0
Magic Amulet + Perfect Topaz -> Crafted Amulet	1			100	18	365			3	amul,mag	rps	gpy					usetype,crf		50	50	gethit-skill		48	5	8	light-thorns			3	6	addxp			1	3	levelreq			-10	-10																																																																0
Magic Ring + Perfect Topaz -> Crafted Ring	1			100	18	365			3	ring,mag	rps	gpy					usetype,crf		50	50	gethit-skill		48	5	8	light-thorns			3	6	lifesteal			1	3	levelreq			-10	-10																																																																0
Magic Weapon + Perfect Topaz -> Crafted Weapon	1			100	18	365			3	weap,mag	rps	gpy					usetype,crf		50	50	gethit-skill		48	5	8	light-thorns			3	6	slow			10	20	levelreq			-10	-10																																																																0
Magic Helm + Perfect Diamond -> Crafted Helm	1			100	18	365			3	helm,mag	rps	gpw					usetype,crf		50	50	str%			1	5	red-dmg			1	4	hp%			1	4	levelreq			-10	-10																																																																0
Magic Boots + Perfect Diamond -> Crafted Boots	1			100	18	365			3	boot,mag	rps	gpw					usetype,crf		50	50	str%			1	5	red-dmg			1	4	slow			5	10	levelreq			-10	-10																																																																0
Magic Gloves + Perfect Diamond -> Crafted Gloves	1			100	18	365			3	glov,mag	rps	gpw					usetype,crf		50	50	str%			1	5	red-dmg			1	3	dmg-ac			-25	-50	levelreq			-10	-10																																																																0
Magic Belt + Perfect Diamond -> Crafted Belt	1			100	18	365			3	belt,mag	rps	gpw					usetype,crf		50	50	str%			1	5	red-dmg			1	4	block			1	10	levelreq			-10	-10																																																																0
Magic Shield + Perfect Diamond -> Crafted Shield	1			100	18	365			3	shld,mag	rps	gpw					usetype,crf		50	50	str%			1	5	red-dmg			1	5	res-pois-len			15	30	levelreq			-10	-10																																																																0
Magic Torso + Perfect Diamond -> Crafted Torso	1			100	18	365			3	tors,mag	rps	gpw					usetype,crf		50	50	str%			1	5	red-dmg			1	5	all-stats			1	4	levelreq			-10	-10																																																																0
Magic Amulet + Perfect Diamond -> Crafted Amulet	1			100	18	365			3	amul,mag	rps	gpw					usetype,crf		50	50	str%			1	5	red-dmg			1	3	cheap			1	3	levelreq			-10	-10																																																																0
Magic Ring + Perfect Diamond -> Crafted Ring	1			100	18	365			3	ring,mag	rps	gpw					usetype,crf		50	50	str%			1	5	red-dmg			1	3	ac			20	40	levelreq			-10	-10																																																																0
Magic Weapon + Perfect Diamond -> Crafted Weapon	1			100	18	365			3	weap,mag	rps	gpw					usetype,crf		50	50	str%			1	5	red-dmg			1	3	crush			10	20	levelreq			-10	-10																																																																0
Magic Helm + Perfect Beryl -> Crafted Helm	1			100	18	365			3	helm,mag	rps	skz					usetype,crf		50	50	enr%			1	5	manasteal			1	3	half-freeze			1	1	levelreq			-10	-10																																																																0
Magic Boots + Perfect Beryl -> Crafted Boots	1			100	18	365			3	boot,mag	rps	skz					usetype,crf		50	50	enr%			1	5	manasteal			1	3	move1			10	20	levelreq			-10	-10																																																																0
Magic Gloves + Perfect Beryl -> Crafted Gloves	1			100	18	365			3	glov,mag	rps	skz					usetype,crf		50	50	enr%			1	5	manasteal			1	4	pierce-mag			1	5	levelreq			-10	-10																																																																0
Magic Belt + Perfect Beryl -> Crafted Belt	1			100	18	365			3	belt,mag	rps	skz					usetype,crf		50	50	enr%			1	5	manasteal			1	3	ac			15	30	levelreq			-10	-10																																																																0
Magic Shield + Perfect Beryl -> Crafted Shield	1			100	18	365			3	shld,mag	rps	skz					usetype,crf		50	50	enr%			1	5	manasteal			1	3	abs-cold			1	5	levelreq			-10	-10																																																																0
Magic Torso + Perfect Beryl -> Crafted Torso	1			100	18	365			3	tors,mag	rps	skz					usetype,crf		50	50	enr%			1	5	manasteal			1	3	regen-mana			15	30	levelreq			-10	-10																																																																0
Magic Amulet + Perfect Beryl -> Crafted Amulet	1			100	18	365			3	amul,mag	rps	skz					usetype,crf		50	50	enr%			1	5	manasteal			1	4	gold%			20	40	levelreq			-10	-10																																																																0
Magic Ring + Perfect Beryl -> Crafted Ring	1			100	18	365			3	ring,mag	rps	skz					usetype,crf		50	50	enr%			1	5	manasteal			1	4	cast1			5	10	levelreq			-10	-10																																																																0
