Name	*comment	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	classspecific	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Snowflake		100	1		33		30				4	306	dmg-cold	25	2	5	levelreq		25	25							stn1														0
Shivering		100	1		60		45				3	306	dmg-cold	25	4	10	levelreq		25	25							stn1														0
Boreal		100	1		75		60				2	306	dmg-cold	25	6	20	levelreq		25	25							stn1														0
Hibernal		100	1		85		75				1	306	dmg-cold	25	11	30	levelreq		25	25							stn1														0
Ember		100	1		33		30				4	307	dmg-fire		3	3	levelreq		25	25							stn2														0
Smoldering		100	1		60		45				3	307	dmg-fire		5	12	levelreq		25	25							stn2														0
Smoking		100	1		75		60				2	307	dmg-fire		7	27	levelreq		25	25							stn2														0
Flaming		100	1		85		75				1	307	dmg-fire		10	43	levelreq		25	25							stn2														0
Static		100	1		33		30				4	308	dmg-ltng		1	9	levelreq		25	25							stn3														0
Glowing		100	1		60		45				3	308	dmg-ltng		1	26	levelreq		25	25							stn3														0
Arcing		100	1		75		60				2	308	dmg-ltng		1	58	levelreq		25	25							stn3														0
Shocking		100	1		85		75				1	308	dmg-ltng		1	90	levelreq		25	25							stn3														0
Septic		100	1		33		30				4	309	dmg-pois	75	35	35	levelreq		25	25							stn4														0
Envenomed		100	1		60		45				3	309	dmg-pois	100	77	77	levelreq		25	25							stn4														0
Toxic		100	1		75		60				2	309	dmg-pois	125	185	185	levelreq		25	25							stn4														0
Pestilent		100	1		85		75				1	309	dmg-pois	150	299	299	levelreq		25	25							stn4														0
Rainbow		100	1		33		30				4	310	dmg-mag		3	6	levelreq		25	25							stn5														0
Rainbow		100	1		60		45				3	310	dmg-mag		6	12	levelreq		25	25							stn5														0
Rainbow		100	1		75		60				2	310	dmg-mag		12	24	levelreq		25	25							stn5														0
Rainbow		100	1		85		75				1	310	dmg-mag		24	48	levelreq		25	25							stn5														0
Cinnabar		100	1		33		30				4	311	dmg%		5	10	levelreq		25	25							stn6														0
Rusty		100	1		60		45				3	311	dmg%		11	20	levelreq		25	25							stn6														0
Realgar		100	1		75		60				2	311	dmg%		21	30	levelreq		25	25							stn6														0
Ruby		100	1		85		75				1	311	dmg%		31	40	levelreq		25	25							stn6														0
