Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Hell	100	4	271	1	3	65	150	merc01	merc41	12500	120	1150	33	925	24	84	10	163	16	998	36	2	23	25	6	115	5	bow		farw	75	Inner Sight	4	10	0	20	10	Fire Arrow	4	69	0	20	10	Exploding Arrow	4	67	0	18	0	Immolation Arrow	4	35	7	5	14	Quickness	4	999	0	14	0							2	1	2	0
Rogue Scout	Ice - Hell	100	5	271	1	3	65	150	merc01	merc41	14000	125	1150	33	925	24	84	10	163	16	998	36	2	23	25	6	115	5	bow		carw	75	Inner Sight	4	10	0	20	10	Cold Arrow	4	69	0	20	10	Ice Arrow	4	67	0	18	0	Freezing Arrow	4	35	7	5	14	Quickness	4	999	0	14	0							2	1	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	19	198	merca201	merca221	350	110	360	18	51	12	42	14	40	12	20	12	1	7	14	4	18	8	pole	spea	comb	30	Jab	14	70	4	3	10	Prayer	1	999	0	3	7	Charged Strike	4	0	0	0	0	Lightning Strike	4	0	0	0	0													2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	46	198	merca201	merca221	350	110	708	30	471	21	87	14	91	12	428	24	3	24	31	6	86	7	pole	spea	comb	30	Jab	14	104	4	14	10	Prayer	1	999	0	11	7	Charged Strike	4	70	3	8	10	Lightning Strike	4	0	0	0	0													2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	71	198	merca201	merca221	350	110	1608	45	1155	30	129	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	comb	30	Jab	14	136	4	24	10	Prayer	1	999	0	18	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	19	198	merca201	merca221	350	110	360	18	51	12	42	14	40	12	20	12	1	7	14	4	18	8	pole	spea	def	30	Jab	14	70	4	3	10	Defiance	1	999	0	3	7	Charged Strike	4	0	0	0	0	Lightning Strike	4	0	0	0	0													2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	42	198	merca201	merca221	350	110	708	30	471	21	87	14	91	12	428	24	3	24	31	6	86	7	pole	spea	def	30	Jab	14	104	4	14	10	Defiance	1	999	0	11	7	Charged Strike	4	70	3	8	10	Lightning Strike	4	0	0	0	0													2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	71	198	merca201	merca221	350	110	1608	45	1155	30	129	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	def	30	Jab	14	136	4	24	0	Defiance	1	999	0	18	0	Charged Strike	4	14	2	18	0	Lightning Strike	4	55	7	12	16													2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	19	198	merca201	merca221	350	110	360	18	51	12	42	14	40	12	20	12	1	7	14	4	18	8	pole	spea	off	30	Jab	14	70	4	3	10	Blessed Aim	1	999	0	3	7	Charged Strike	4	0	0	0	0	Lightning Strike	4	0	0	0	0													2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	42	198	merca201	merca221	350	110	708	30	471	21	87	14	91	12	428	24	3	24	31	6	86	7	pole	spea	off	30	Jab	14	104	4	14	10	Blessed Aim	1	999	0	11	7	Charged Strike	4	70	3	8	10	Lightning Strike	4	0	0	0	0													2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	71	198	merca201	merca221	350	110	1608	45	1155	30	129	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	off	30	Jab	14	136	4	24	0	Blessed Aim	1	999	0	18	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	42	198	merca201	merca221	7900	120	636	30	426	21	84	14	87	12	385	24	3	22	29	6	83	7	pole	spea	comb	30	Jab	14	120	4	13	10	Thorns	1	999	0	5	10	Charged Strike	4	70	3	8	10	Lightning Strike	4	0	0	0	0													2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	71	198	merca201	merca221	7900	120	1536	45	1110	30	126	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	comb	30	Jab	14	152	4	23	10	Thorns	1	999	0	15	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	42	198	merca201	merca221	7900	120	636	30	426	21	84	14	87	12	385	24	3	22	29	6	83	7	pole	spea	def	30	Jab	14	120	4	13	10	Holy Freeze	1	999	0	6	10	Charged Strike	4	70	3	8	10	Lightning Strike	4	0	0	0	0													2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	71	198	merca201	merca221	7900	120	1536	45	1110	30	126	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	def	30	Jab	14	152	4	23	0	Holy Freeze	1	999	0	16	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	42	198	merca201	merca221	7900	120	636	30	426	21	84	14	87	12	385	24	3	22	29	6	83	7	pole	spea	off	30	Jab	14	120	4	13	10	Might	1	999	0	7	8	Charged Strike	4	70	3	8	10	Lightning Strike	4	0	0	0	0													2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	71	198	merca201	merca221	7900	120	1536	45	1110	30	126	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	off	30	Jab	14	152	4	23	0	Might	1	999	0	15	8	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													2	2	2	0
Desert Mercenary	Comb-Hell	100	12	338	2	3	71	198	merca201	merca221	15000	130	1383	45	996	30	123	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	comb	30	Jab	14	104	4	22	10	Fanaticism	1	999	0	16	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													2	2	2	0
Desert Mercenary	Def-Hell	100	13	338	2	3	71	198	merca201	merca221	15000	130	1383	45	996	30	123	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	def	30	Jab	14	104	4	22	0	Salvation	1	999	0	16	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													2	2	2	0
Desert Mercenary	Off-Hell	100	14	338	2	3	71	198	merca201	merca221	15000	130	1383	45	996	30	123	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	off	30	Jab	14	104	4	22	0	Conviction	1	999	0	16	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													2	2	2	0
Eastern Sorceror	Fire-Normal	100	15	359	3	1	25	252	merca222	merca241	1000	110	300	12	150	6	36	10	40	8	15	12		1	7	4	25	7	swor	shie	fire	10	Fire Bolt	7	30	0	2	10	Fire Ball	7	30	0	4	10	Fire Wall	7	30	0	4	10	Meteor	7	0	0	4	10	Hydra	7	0	0	0	0	Fire Mastery	10	0	0	0	0	2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	50	252	merca222	merca241	1000	110	525	21	282	15	69	10	74	8	423	24	3	18	24	4	85	7	swor	shie	fire	10	Fire Bolt	7	30	0	13	10	Fire Ball	7	30	0	14	10	Fire Wall	7	30	0	14	10	Meteor	7	30	0	14	10	Hydra	7	30	4	8	10	Fire Mastery	10	0	0	0	0	2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	77	252	merca222	merca241	1000	110	1131	30	720	30	96	10	104	8	1143	36	5	33	39	4	138	6	swor	shie	fire	10	Fire Bolt	7	30	0	23	10	Fire Ball	7	30	0	24	10	Fire Wall	7	30	0	24	10	Meteor	7	30	0	24	10	Hydra	7	30	4	18	10	Fire Mastery	10	0	0	6	32	2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	25	252	merca222	merca241	1500	120	300	12	150	6	36	10	40	8	15	12		1	7	4	25	7	swor	shie	cold	10	Frozen Armor	7	999	0	2	10	Frost Nova	7	30	0	4	10	Glacial Spike	7	30	0	4	10	Blizzard	7	0	0	4	10	Frozen Orb	7	0	0	0	0	Cold Mastery	10	0	0	0	0	2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	50	252	merca222	merca241	1500	120	525	21	282	15	69	10	74	8	423	24	3	18	24	4	85	7	swor	shie	cold	10	Frozen Armor	7	999	0	13	10	Frost Nova	7	30	0	14	10	Glacial Spike	7	30	0	14	10	Blizzard	7	30	0	14	10	Frozen Orb	7	30	4	8	10	Cold Mastery	10	0	0	0	0	2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	77	252	merca222	merca241	1500	120	1131	30	720	30	96	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	cold	10	Frozen Armor	7	999	0	23	10	Frost Nova	7	30	0	24	10	Glacial Spike	7	30	0	24	10	Blizzard	7	30	0	24	10	Frozen Orb	7	30	4	18	10	Cold Mastery	10	0	0	6	32	2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	25	252	merca222	merca241	1000	110	300	12	150	6	36	10	40	8	15	12		1	7	4	25	7	swor	shie	ltng	10	Charged Bolt	7	30	0	2	10	Static Field	7	30	0	4	10	Lightning	7	30	0	4	10	Nova	7	0	0	4	10	Chain Lightning	7	0	0	0	0	Lightning Mastery	10	0	0	0	0	2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	50	252	merca222	merca241	1000	110	525	21	282	15	69	10	74	8	423	24	3	18	24	4	85	7	swor	shie	ltng	10	Charged Bolt	7	30	0	13	10	Static Field	7	30	0	14	10	Lightning	7	30	0	14	10	Nova	7	30	0	14	10	Chain Lightning	7	30	4	8	10	Lightning Mastery	10	0	0	0	0	2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	77	252	merca222	merca241	1000	110	1131	30	720	30	96	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	ltng	10	Charged Bolt	7	30	0	23	10	Static Field	7	30	0	24	10	Lightning	7	30	0	24	10	Nova	7	30	0	24	10	Chain Lightning	7	30	4	18	10	Lightning Mastery	10	0	0	6	32	2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	50	252	merca222	merca241	9500	120	471	21	252	15	66	10	70	8	381	24	3	16	22	4	82	7	swor	shie	fire	10	Fire Bolt	7	30	0	13	10	Fire Ball	7	30	0	14	10	Fire Wall	7	30	0	14	10	Meteor	7	30	0	14	10	Hydra	7	30	4	8	10	Fire Mastery	10	0	0	0	0	2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	77	252	merca222	merca241	9500	120	1080	30	690	30	96	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	fire	10	Fire Bolt	7	30	0	23	10	Fire Ball	7	30	0	24	10	Fire Wall	7	30	0	24	10	Meteor	7	30	0	24	10	Hydra	7	30	4	18	10	Fire Mastery	10	0	0	6	32	2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	50	252	merca222	merca241	12000	130	471	21	252	15	66	10	70	8	381	24	3	16	22	4	82	7	swor	shie	cold	10	Frozen Armor	7	999	0	13	10	Frost Nova	7	30	0	14	10	Glacial Spike	7	30	0	14	10	Blizzard	7	30	0	14	10	Frozen Orb	7	30	4	8	10	Cold Mastery	10	0	0	0	0	2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	77	252	merca222	merca241	12000	130	1080	30	690	30	96	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	cold	10	Frozen Armor	7	999	0	23	10	Frost Nova	7	30	0	24	10	Glacial Spike	7	30	0	24	10	Blizzard	7	30	0	24	10	Frozen Orb	7	30	4	18	10	Cold Mastery	10	0	0	6	32	2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	50	252	merca222	merca241	10000	120	471	21	252	15	66	10	70	8	381	24	3	16	22	4	82	7	swor	shie	ltng	10	Charged Bolt	7	30	0	13	10	Static Field	7	30	0	14	10	Lightning	7	30	0	14	10	Nova	7	30	0	14	10	Chain Lightning	7	30	4	8	10	Lightning Mastery	10	0	0	0	0	2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	77	252	merca222	merca241	10000	120	1080	30	690	30	96	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	ltng	10	Charged Bolt	7	30	0	23	10	Static Field	7	30	0	24	10	Lightning	7	30	0	24	10	Nova	7	30	0	24	10	Chain Lightning	7	30	4	18	10	Lightning Mastery	10	0	0	6	32	2	2	2	1
Eastern Sorceror	Fire-Hell	100	21	359	3	3	77	252	merca222	merca241	21000	130	972	30	624	30	90	10	96	8	991	36	5	29	35	4	132	4	swor	shie	fire	10	Fire Bolt	7	30	0	23	10	Fire Ball	7	30	0	24	10	Fire Wall	7	30	0	24	10	Meteor	7	30	0	24	10	Hydra	7	30	4	18	10	Fire Mastery	10	0	0	6	32	2	2	2	1
Eastern Sorceror	Cold-Hell	100	22	359	3	3	77	252	merca222	merca241	27000	140	972	30	624	30	90	10	96	8	991	36	5	29	35	4	132	4	swor	shie	cold	10	Frozen Armor	7	999	0	23	10	Frost Nova	7	30	0	24	10	Glacial Spike	7	30	0	24	10	Blizzard	7	30	0	24	10	Frozen Orb	7	30	4	18	10	Cold Mastery	10	0	0	6	32	2	2	2	1
Eastern Sorceror	Ltng-Hell	100	23	359	3	3	77	252	merca222	merca241	21000	130	972	30	624	30	90	10	96	8	991	36	5	29	36	4	132	4	swor	shie	ltng	10	Charged Bolt	7	30	0	23	10	Static Field	7	30	0	24	10	Lightning	7	30	0	24	10	Nova	7	30	0	24	10	Chain Lightning	7	30	4	18	10	Lightning Mastery	10	0	0	6	32	2	2	2	1
Barbarian	1hs-Normal	100	24	561	5	1	38	515	MercX101	MercX167	9000	120	445	21	324	12	75	15	63	10	150	20	1	16	20	6	56	7	swor			50	Bash	5	15	0	4	10	Stun	5	15	0	3	8	Battle Orders1	4	999	0	1	10	Battle Cry	4	0	0	0	0	War Cry	4	0	0	0	0							0	0	0	0
Barbarian	1hs-Normal	100	24	561	5	1	61	515	MercX101	MercX167	9000	120	930	30	540	39	120	15	101	10	750	35	1	39	43	8	109	7	swor			50	Bash	5	50	0	14	10	Stun	5	50	0	11	8	Battle Orders1	4	999	0	11	10	Battle Cry	4	25	0	8	10	War Cry	4	0	0	0	0							0	0	0	0
Barbarian	1hs-Normal	100	24	561	5	1	84	515	MercX101	MercX167	9000	120	1599	51	1407	57	150	15	129	10	1520	45	1	61	65	8	148	4	swor			50	Bash	5	75	0	21	0	Stun	5	75	0	17	0	Battle Orders1	4	999	0	21	10	Battle Cry	4	25	0	18	16	War Cry	4	25	10	12	32							0	0	0	0
Barbarian	1hs-Normal	100	25	561	5	1	38	515	MercX101	MercX167	9000	120	445	21	324	12	75	15	63	10	150	20	1	16	20	6	56	7	swor			50	Bash	5	15	0	4	10	Stun	5	15	0	3	8	Battle Orders1	4	999	0	1	10	Battle Cry	4	0	0	0	0	War Cry	4	0	0	0	0							0	0	0	0
Barbarian	1hs-Normal	100	25	561	5	1	61	515	MercX101	MercX167	9000	120	930	30	540	39	120	15	101	10	750	35	1	39	43	8	109	7	swor			50	Bash	5	50	0	14	10	Stun	5	50	0	11	8	Battle Orders1	4	999	0	11	10	Battle Cry	4	25	0	8	10	War Cry	4	0	0	0	0							0	0	0	0
Barbarian	1hs-Normal	100	25	561	5	1	84	515	MercX101	MercX167	9000	120	1599	51	1407	57	150	15	129	10	1520	45	1	61	65	8	148	4	swor			50	Bash	5	75	0	21	0	Stun	5	75	0	17	0	Battle Orders1	4	999	0	21	10	Battle Cry	4	25	0	18	16	War Cry	4	25	10	12	32							0	0	0	0
Barbarian	1hs-Nightmare	100	26	561	5	2	61	515	MercX101	MercX167	18000	130	840	30	486	39	117	15	96	10	675	35	4	37	41	8	106	7	swor			50	Bash	5	50	0	13	10	Stun	5	50	0	10	8	Battle Orders1	4	999	0	11	10	Battle Cry	4	25	0	8	10	War Cry	4	0	0	0	0							0	0	0	0
Barbarian	1hs-Nightmare	100	26	561	5	2	84	515	MercX101	MercX167	18000	130	1506	51	1353	57	147	15	124	10	1445	45	4	59	63	8	145	4	swor			50	Bash	5	75	0	20	0	Stun	5	75	0	16	0	Battle Orders1	4	999	0	21	10	Battle Cry	4	25	0	18	16	War Cry	4	25	10	12	32							0	0	0	0
Barbarian	1hs-Nightmare	100	27	561	5	2	61	515	MercX101	MercX167	18000	130	840	30	486	39	117	15	96	10	675	35	4	37	41	8	106	7	swor			50	Bash	5	50	0	13	10	Stun	5	50	0	10	8	Battle Orders1	4	999	0	11	10	Battle Cry	4	25	0	8	10	War Cry	4	0	0	0	0							0	0	0	0
Barbarian	1hs-Nightmare	100	27	561	5	2	84	515	MercX101	MercX167	18000	130	1506	51	1353	57	147	15	124	10	1445	45	4	59	63	8	145	4	swor			50	Bash	5	75	0	20	0	Stun	5	75	0	16	0	Battle Orders1	4	999	0	21	10	Battle Cry	4	25	0	18	16	War Cry	4	25	10	12	32							0	0	0	0
Barbarian	1hs-Hell	100	28	561	5	3	84	515	MercX101	MercX167	32000	140	1356	51	1218	57	144	15	119	10	1301	45	6	57	61	8	142	4	swor			50	Bash	5	70	0	19	0	Stun	5	70	0	15	0	Battle Orders1	4	999	0	21	10	Battle Cry	4	25	0	18	16	War Cry	4	25	10	12	32							0	0	0	0
Barbarian	1hs-Hell	100	29	561	5	3	84	515	MercX101	MercX167	32000	140	1356	51	1218	57	144	15	119	10	1301	45	6	57	61	8	142	4	swor			50	Bash	5	70	0	19	0	Stun	5	70	0	15	0	Battle Orders1	4	999	0	21	10	Battle Cry	4	25	0	18	16	War Cry	4	25	10	12	32							0	0	0	0
