class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Trophy Case Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	0	321	220	442	6	8	74	244	82	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	29	29	17	75	5	117	58	112	133	191	63	150	58	87	248	306	5	117	58	112	133	191	5	60	58	55	204	235	29	60	31	31	89	120	121	152	31	31	-81	-81	-61	-61	-1	-1	133	191	155	178	58	23	248	306	121	178	58	57	17	75	121	178	58	57
Druid	320	640	0	441	10	8	336	623	153	383	29	29	328	386	28	140	58	112	397	455	62	149	58	87	574	632	28	140	58	112	397	455	2	58	58	56	466	496	18	49	30	31	466	496	63	94	30	31	466	496	110	141	30	31	507	565	62	87	58	25	507	565	91	149	58	58	507	565	2	58	58	56
Assassin	320	640	0	441	10	8	336	623	153	383	29	29	328	386	28	140	58	112	397	455	62	149	58	87	574	632	28	140	58	112	397	455	2	58	58	56	466	496	18	49	30	31	466	496	63	94	30	31	466	496	110	141	30	31	507	565	62	87	58	25	507	565	91	149	58	58	507	565	2	58	58	56
Amazon2	400	720	60	501	10	8	416	703	213	443	29	29	408	466	88	200	58	112	477	535	122	209	58	87	654	712	88	200	58	112	477	535	62	118	58	56	546	576	78	109	30	31	546	576	123	154	30	31	546	576	170	201	30	31	587	645	122	147	58	25	587	645	151	209	58	58	587	645	62	118	58	56
Sorceress2	400	720	60	501	10	8	416	703	213	443	29	29	408	466	88	200	58	112	477	535	122	209	58	87	654	712	88	200	58	112	477	535	62	118	58	56	546	576	78	109	30	31	546	576	123	154	30	31	546	576	170	201	30	31	587	645	122	147	58	25	587	645	151	209	58	58	587	645	62	118	58	56
Necromancer2	400	720	60	501	10	8	416	703	213	443	29	29	408	466	88	200	58	112	477	535	122	209	58	87	654	712	88	200	58	112	477	535	62	118	58	56	546	576	78	109	30	31	546	576	123	154	30	31	546	576	170	201	30	31	587	645	122	147	58	25	587	645	151	209	58	58	587	645	62	118	58	56
Paladin2	400	720	60	501	10	8	416	703	213	443	29	29	408	466	88	200	58	112	477	535	122	209	58	87	654	712	88	200	58	112	477	535	62	118	58	56	546	576	78	109	30	31	546	576	123	154	30	31	546	576	170	201	30	31	587	645	122	147	58	25	587	645	151	209	58	58	587	645	62	118	58	56
Barbarian2	400	720	60	501	10	8	416	703	213	443	29	29	408	466	88	200	58	112	477	535	122	209	58	87	654	712	88	200	58	112	477	535	62	118	58	56	546	576	78	109	30	31	546	576	123	154	30	31	546	576	170	201	30	31	587	645	122	147	58	25	587	645	151	209	58	58	587	645	62	118	58	56
Monster2	80	401	60	502	10	10	96	385	123	412	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1-2	80	401	60	279	10	4	100	385	101	208	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2-2	80	401	280	502	10	4	100	385	315	428	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page2	80	401	280	502	6	4	154	324	333	446	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box2	80	401	280	502	4	4	183	299	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Big Bank Page2	80	401	280	502	6	8	154	324	142	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	97	155	65	177	58	112	213	271	123	210	58	87	328	386	65	177	58	112	213	271	65	120	58	55	284	315	89	120	31	31	169	200	181	212	31	31	-1	-1	-1	-1	-1	-1	213	271	215	238	58	23	328	386	181	238	58	57	97	155	181	238	58	57
Druid2	400	720	60	501	10	8	416	703	213	443	29	29	408	466	88	200	58	112	477	535	122	209	58	87	654	712	88	200	58	112	477	535	62	118	58	56	546	576	78	109	30	31	546	576	123	154	30	31	546	576	170	201	30	31	587	645	122	147	58	25	587	645	151	209	58	58	587	645	62	118	58	56
Assassin2	400	720	60	501	10	8	416	703	213	443	29	29	408	466	88	200	58	112	477	535	122	209	58	87	654	712	88	200	58	112	477	535	62	118	58	56	546	576	78	109	30	31	546	576	123	154	30	31	546	576	170	201	30	31	587	645	122	147	58	25	587	645	151	209	58	58	587	645	62	118	58	56
