Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword63	Jealousy																																															0
Runeword64	Judgment																																															0
Runeword67	Knight's Vigil																																															0
Runeword69	Last Wish	1		swor	hamm	axe							JahMalJahSurJahBer	r31	r23	r31	r29	r31	r30	dmg%		330	375	att-skill	Charged Bolt	20	20	hit-skill	Life Tap	10	18	gethit-skill	Fade	6	11	crush		40	50	mag%/lvl	4			aura	Might	17	17	0
Runeword70	Law																																															0
Runeword71	Lawbringer	1		swor	hamm	scep							AmnLemKo	r11	r20	r18				dmg-cold		130	180	dmg-fire		150	210	aura	Sanctuary	16	18	hit-skill	Decrepify	20	15	ac-miss		200	250	rip		1	1	reduce-ac		50	50	0
Runeword73	Lightning																																															0
Runeword77	Loyalty																																															0
Runeword78	Lust																																															0
Runeword79	Madness																																															0
Runeword84	Mist	1		belt									OhmGul	r27	r25					red-dmg%		4	7	gethit-skill	234	15	22	res-pois-len	 	80	80	crush		25	33	ac-hth		150	150	nofreeze	 	1	1	enr		15	15	0
Runeword85	Morning Dew																																															0
Runeword86	Mystery	1		belt									ShaelLo	r13	r28					light-thorns		115	135	mana%		5	7	hp%		5	7	res-all		20	25	aura	110	6	9	dex%		5	7	res-curs-len		50	50	0
Runeword87	Myth	1		tors									HelAmnNef	r15	r11	r04				hit-skill	Taunt	10	1	gethit-skill	Howl	3	1	bar		1	2	regen		10	10	thorns/lvl	16											0
Runeword96	Patience																																															0
Runeword97	Pattern	1		h2h									TalOrtTir	r07	r09	r03				att%		10	10	dmg%		40	80	dmg-fire		17	62	res-all		15	15	str		6	6	dex		6	6	block2		30	30	0
Runeword98	Peace	1		tors									ShaelThulAmn	r13	r10	r11				hit-skill	Valkyrie	2	15	gethit-skill	8	8	15	ama		1	2	oskill	Critical Strike	2	2													0
Runeword100	Penitence																																															0
Runeword101	Peril																																															0
Runeword102	Pestilence																																															0
Runeword103	Phoenix	1		weap	shld								VexVexLoJah	r26	r26	r28	r31			dmg%		300	350	ac-miss		350	400	hit-skill	47	10	22	levelup-skill	Blaze	100	40	pierce-fire		28	28	aura	Redemption	10	15	abs-fire		15	21	0
Runeword104	Piety																																															0
Runeword105	Pillar of Faith																																															0
Runeword106	Plague	1		weap									ChamFalUm	r32	r19	r22				dmg-demon		260	380	gethit-skill	Lower Resist	20	12	hit-skill	Poison Nova	25	15	pierce-pois		23	23	deadly/lvl	3			aura	Cleansing	13	17	allskills		1	2	0
Runeword107	Praise																																															0
Runeword108	Prayer																																															0
Runeword109	Pride	1		pole	spea								ChamSurIoLo	r32	r29	r16	r28			dmg-dem/lvl	32			dmg-ltng		50	280	att%		260	300	aura	Concentration	16	20	gethit-skill	Fire Wall	25	17	regen		8	8	gold%/lvl	15			0
Runeword110	Principle	1		tors									RalPulEld	r08	r21	r02				hit-skill	Holy Bolt	33	13	pal		1	2	hp		50	100	dmg-undead		50	50													0
Runeword111	Prowess in Battle																																															0
Runeword112	Prudence	1		tors									MalTir	r23	r03					ac%		140	170	red-mag		6	10	red-dmg		5	13	res-all		25	35	balance2		25	25	rep-dur	25			cast2		20	20	0
Runeword113	Punishment																																															0
Runeword114	Purity																																															0
Runeword115	Question																																															0
Runeword117	Rain	1		tors									OrtMalIth	r09	r23	r06				hit-skill	Twister	7	15	gethit-skill	Cyclone Armor	7	15	dru		1	2	mana		75	125	skilltab	15	1	1									0
Runeword118	Reason	1		boot									LumRal	r17	r08					regen-mana		30	50	cast3		15	15	red-dmg%		4	6	dmg-to-mana		25	25	gethit-skill	58	5	12									0
Runeword119	Red																																															0
Runeword121	Rift	1		pole	scep	spea							HelKoLemGul	r15	r18	r20	r25			dmg-mag		160	250	dmg-fire		60	180	dmg-to-mana		38	38	hit-skill	Tornado	20	21	att-skill	Frozen Orb	16	21	charged	Iron Maiden	40	15	all-stats		15	20	0
Runeword76	The Lovers																																															0
Runeword143	Thirst																																															0
Runeword68	Thirst for Knowledge																																															0
Runeword144	Thought																																															0
Runeword145	Thunder																																															0
Runeword146	Time	1		boot									JahLo	r31	r28					ac%		80	110	mana		35	50	enr%		10	10	gethit-skill	48	33	25	abs-ltng		5	8	oskill	43	5	5					0
Runeword147	Tradition																																															0
Runeword148	Treachery	1		tors									ShaelThulLem	r13	r10	r20				hit-skill	Venom	25	15	gethit-skill	Fade	5	15	ass		2	2	swing2		45	45													0
Runeword149	Trust																																															0
Runeword150	Truth																																															0
Runeword151	Unbending Will																																															0
Runeword152	Valor																																															0
Runeword153	Vengeance			weap									IthAmnEl	r06	r11	r01																																0
Runeword155	Victory																																															0
Runeword156	Voice	1		boot									UmHel	r22	r15					cold-thorns		125	175	mana/lvl	8			res-all		15	25	move2		25	25	howl		77	77	reanimate	380	15	15					0
Runeword157	Void	1		belt									SolAmn	r12	r11					gethit-skill	39	13	5	dmg-max		5	10	hp		25	40	balance2		10	15	move2		8	12									0
Runeword158	War																																															0
Runeword159	Water																																															0
Runeword161	Whisper																																															0
Runeword47	Widowmaker	1		swor	axe								EthTirLoMalRal	r05	r03	r28	r23	r08		dmg-dem/lvl	15			dmg-min		180	220	dmg-max		240	280	swing3		30	40	hit-skill	Venom	35	15	pierce-pois		20	25	heal-kill		10	15	0
Runeword163	Wind	1		mele									SurSurEl	r29	r29	r01				dmg%		160	240	swing2		40	40	move2		20	30	gethit-skill	250	5	9	hit-skill	245	8	29	hit-skill	240	8	25	hit-skill	235	5	9	0
Runeword164	Wings of Hope																																															0
Runeword99	Winter	1		swor	mace								LemKoElEld	r20	r18	r01	r02			dmg-demon		220	350	dmg-undead		280	300	dmg-cold		200	320	pierce-cold		24	24	hit-skill	Ice Blast	18	20	hit-skill	Frozen Orb	15	16	nofreeze		1	1	0
Runeword165	Wisdom			shld	staf	wand																																										0
Runeword166	Woe			weap	miss																																											0
Runeword167	Wonder	1		glov									VexAmn	r26	r11					dmg%		40	80	balance2		30	30	str		10	15	dex		10	15	extra-mag	 	8	12	heal-kill	 	3	5	hp/lvl	12			0
Runeword168	Wrath	1		miss									PulLumBerMal	r21	r17	r30	r23			dmg-demon		300	300	dmg-undead		250	300	dmg-ltng		41	240	dmg-mag		85	120	swing3	 	30	45	hit-skill	decrepify	30	18	nofreeze		1	1	0
Runeword169	Youth																																															0
